,description,snippet.requirement,snippet.responsibility
0,"

В нашу команду CGI нужен профессионал в Motion Designer 2D/3D!

**Задачи:**

  * Разработка анимационных дизайн-макетов баннеров.
  * Персонажная 2D и 3D анимация (начальный уровень), подготовка макета для анимации, анимация окружения, компоузинг.

**Примеры работ:**

https://www.facebook.com/730211363781347/videos/250975116110611/?__so__=channel_tab&__rv__=all_videos_card  
https://www.facebook.com/ZombieCastaways/videos/2590787411156570/  
https://www.facebook.com/730211363781347/videos/374283526843499/?__so__=channel_tab&__rv__=all_videos_card  
https://www.facebook.com/730211363781347/videos/413572749272045/?__so__=channel_tab&__rv__=all_videos_card  
https://www.youtube.com/watch?v=b2FWuwqCDFo  
https://www.facebook.com/451256781884275/videos/679656692814082/?__so__=channel_tab&__rv__=all_videos_card  
https://www.youtube.com/watch?v=q7crMq0RAX8

**Требования:**

  * Опыт в графическом дизайне в направлении создания маркетинговых материалов.
  * Опыт работы с анимацией.
  * Владение 3DMax(желательно), Blender.
  * Умение собрать 3D сцену преимущественно из готовых 3D ассетов, знание текстуринга, умение настроить освещение.
  * Начальное знание 3D анимации + желание развиваться в этом направлении.
  * Общие художественные знания: рисунок, композиция, цвет.
  * Знание программ: Photoshop, After Effect.
  * Четкое понимание того, как должны выглядеть маркетинговые материалы для социальных (мобильных) игр.
  * Креативное мышление, умение работать в команде.
  * Профильное образование (дизайн/анимация) - приветствуется.
  * Наличие актуального портфолио.

**Что ещё хотим рассказать о себе:**

  1. График работы – гибкий, начало работы с 9 до 11 утра. Рабочий день – 8 часов + 1 час на обед. Понедельник - пятница.
  2. Испытательный срок – 3 месяца.
  3. Офис («Александров пассаж»): 10 минут пешком до метро Московская, 5 минут до Севастопольского парка, 2 минуты до водоёма, вид на Национальную библиотеку, плазма, сонька, настольный теннис, приятный глазу дизайн, кофе-машина на зависть соседям, рыбки, самые уютные подоконники.

**Кроме этого, в нашей компании тебя ждет:**

  1. Медицинское страхование;
  2. Внутрикорпоративные курсы рисования и английского языка;
  3. Внутренние/внешние семинары и конференции;
  4. Завтраки для ранних пташек, печеньки/вафельки/конфеты «Красная шапочка» и фрукты для всех;
  5. Корпоративная дорожка в бассейне, совместные походы в кино и др.;
  6. Возможность посещать тренажёрный зал за счёт компании;
  7. Приятный бонус ко дню рождения;
  8. Корпоративные мероприятия: день рождения компании, релизы и дни рождения проектов, Новый год по системе «+1» и др.;
  9. Игровая комната с огромной плазмой, джойстиками, рулями, педалями, настольным теннисом для быстрой перезарядки.

","Креативное мышление, умение работать в команде. Профильное образование
(дизайн/анимация) - приветствуется. Наличие актуального портфолио. Что ещё
хотим рассказать о себе:

","Разработка анимационных дизайн-макетов баннеров. Персонажная 2D и 3D анимация
(начальный уровень), подготовка макета для анимации, анимация окружения...

"
0,"

 **В СВЯЗИ С РАСШИРЕНИЕМ 2D PROMO ОТДЕЛА КОМПАНИЯ** **PLAMEE ПРИГЛАШАЕТ MOTION
DESIGNER.**

Вас ждут задачи по созданию разных рекламных роликов для мобильной игры
«Narcos: Cartel War», а также других игр, компании Tilting Point, к которой мы
недавно присоединилсь. Промо материал - это то, с чем знакомится юзер до
погружения в мир игры. Мы предъявляем высокие требования к созданию рекламного
контента и стараемся создавать его максимально качественно. Если вы разделяете
наше стремление и готовы к обучению, то мы научим и расскажем то, что знаем и
умеем сами.

**ЧЕМ ПРЕДСТОИТ ЗАНИМАТЬСЯ:**

Работать в составе умной, высококвалифицированной команды, тесно сотрудничая с
художниками, видеохудожниками и менеджерами по маркетингу, чтобы создавать
захватывающие маркетинговые материалы для нашей линейки независимо
разработанных мобильных игр.  
Снимать геймплэйные кадры, создавать захватывающие и увлекательные трейлеры, а
также высококачественную видеорекламу, онлайн-рекламу и ресурсы в социальных
сетях.

**ОСНОВНЫЕ ПОЖЕЛАНИЯ К НАШЕМУ БУДУЩЕМУ ХУДОЖНИКУ:**

  * от 1го года опыт работы в производстве видео в области геймдева, рекламы или ТВ;
  * опыт в дизайне видео, редактировании видео и анимированной графике.
  * Опыт работы с Adobe After Effect, Adobe Photoshop;
  * Экспертные знания в использовании концепций дизайна (макет, типографика, основы цвета, чувство пространства, хорошее понимание композиции);
  * Способность работать в быстро меняющихся условиях с соблюдением сроков;
  * Увлеченность своим делом, внимательность к деталям, усидчивость;
  * Любовь к мобильным видеоиграм и понимание ожиданий геймеров будет огромным плюсом.
  * Хороший английский будем безусловным плюсом.

(!) Пожалуйста, обязательно высылайте ваши деморилы для рассмотрения вместе с
резюме. Вам может быть предложено выполнение тестового задания.

**ЧТО МЫ ПРЕДЛАГАЕМ:**

  * Официальное трудоустройство, все льготы и гарантии по ТК РФ, уровень заработной платы обсуждается на собеседовании;
  * Работу в комфортной атмосфере без лишней бюрократии;
  * Возможность работать над интересными проектами по мотивам очень известных американских сериалов;
  * Получить боевой опыт в создании различных рекламных материалов высокого уровня сложности;
  * ДМС, оплату спортивного клуба, английский язык в офисе, кухня со сэнками, корпоративные арт-буки;
  * Офис в центре города (15 мин ходьбы от метро «Петроградская»);

**НЕМНОГО О НАС:**

С 2014 года **PLAMEE** занимается разработкой мобильных игр Free 2 Play по
кино лицензиям американских студий. Наш офис находится в Санкт-Петербурге.

Совсем недавно мы стали частью компании Tilting Point. Мы продолжаем поддержку
мид-корной игры-стратегии Narcos: Cartel Wars (iOS/Android), а также работаем
над новыми проектами.

","Опыт работы с Adobe After Effect, Adobe Photoshop. Экспертные знания в
использовании концепций дизайна (макет, типографика, основы цвета, чувство
пространства...

",
0,"

 **Job Overview**

We’re looking for a Senior 2D Motion Designer with a strong eye for design,
typography, and solid Adobe After Effects skills to help enrich our brand's
visual identity. This position will report to our Design Team Lead and will
work closely with a team of designers to create short form visual animated
graphics that enrich content storytelling and elevate the brand aesthetic.

We 're focusing on 2D animations and ideal candidate will be a master 2D
animator and a creative storyteller who is eager to learn and grow. They will
be detail-oriented, organized, and have great time management skills. We’re
looking for someone with outstanding motion design skills who is also excited
about storytelling.

**What will you do**

  * Interpret creative briefs and translate them into compelling motion concepts.
  * Execute motion graphic treatments, raising the bar on quality production value and efficiency.
  * Work closely with motion designers, and our creative and marketing teams.
  * Create a variety of motion graphic pieces such as explainer videos, lower thirds, animated infographics, and more.
  * Come up with concepts, and design and illustrate creative elements according to our visual style.
  * Act as a mentor to junior staff members and bring out the best in those that work around you.

**What are we looking for**

  * 3–5 years of experience as a motion designer (in a company or as a freelancer).
  * Expert **2D animation** and storytelling skills (hand-drawn animation skills as a plus).
  * Strong portfolio demonstrating past work experience.
  * Expert knowledge of Adobe After Effects and Premiere.
  * Fluency in Adobe Photoshop and Illustrator (Cinema 4D as a plus).
  * Excellent design and layout skills.
  * Excellent typography and type design.
  * Ability to work in a fast-paced environment.
  * Good verbal and written communication skills.
  * Ready to grow and work in a big company.
  * Upper-intermediate English level.

**If you want to apply for this position, add a portfolio link to your CV or
cover letter.**

","3–5 years of experience as a motion designer (in a company or as a
freelancer). Expert 2D animation...

","...motion concepts. Execute motion graphic treatments, raising the bar on
quality production value and efficiency. Work closely with motion designers...

"
0,"

Уважаемые коллеги!

Команда Blend4Web приглашает мастеров трехмерной графики на позицию 3D
художника - motion дизайнера.

Известные производители товаров, предметов одежды, обуви, автомобилей,
медицинских приборов, инженерной техники выбрали движок Blend4Web
(www.blend4web.com/en/demo/) для размещения на своем сайте интерактивной
трехмерной графики, презентации товаров, методических материалов, товарных
конфигураторов, инфографики, виртуальной примерки одежды.

Среди наших клиентов NASA, Chevrolet, Siemens, Infineon, Tallink, Verizon,
RedBull Music Academy, General Electric, Continental, Eaton, Dassault Systems,
Gebhardt, 888 Holdings, Nissan, Toyota, Volkswagen, ВТБ, Seagate, Greenpeace,
Gas Natural SDG, Yandex, Wargaming, Lexus, Hasselblad.

Сейчас мы тестируем наш новый продукт Blend4Web Studio с инновационным
редактором трехмерных сцен, с помощью которого покупатели с легкостью смогут
составлять трехмерные образы из готовых компонентов, делиться своими
визуальными идеями в трехмерном интернете вещей. А для профессионалов в студии
мы предложим наш собственный САПР для проектирования одежды, интересные PLM
инструменты для настройки трехмерной сцены, материалов, компоновки объектов и
сценариев.

**Задачи**

  * Разработка современных образов и принтов для одежды, обуви, аксессуаров
  * Сборка и настройка рекламных 3D сцен для демонстрации товаров, включая модели освещения, анимацию
  * Создание фотореалистичных высоко- и низкополигональных 3D моделей в формате RealTime графики
  * Разработка настраиваемых материалов (Substance, PBR, шейдерная нодовая система)
  * Изготовление 3D / AR / VR контента
  * Тестирование движка, студии и редактора конфигураторов
  * Ведение блога о трехмерной веб-графике с примерами, уроками

**Требования**

  * Художественное высшее образование
  * Твердое знание пакетов трехмерной графики (Blender, 3ds Max, Cinema 4D, Houdini, Substance, Marvelous)
  * Владение рисунком от руки
  * Наличие портфолио известных работ в рекламе
  * Свободный английский язык
  * Порядочность, интеллигентность, любознательность, воображение, нацеленность на результат

**Условия**

  * Работа в компании - разработчике популярного движка Blend4Web
  * Заработная плата по результатам собеседования
  * Возможность профессионального роста
  * Удобный офис в 2 мин. от м. Пролетарская с современными рабочими местами
  * Оформление по ТК или контрактная работа на выбор

","Художественное высшее образование. Твердое знание пакетов трехмерной графики
(Blender, 3ds Max, Cinema 4D, Houdini, Substance, Marvelous).

","Разработка современных образов и принтов для одежды, обуви, аксессуаров.
Сборка и настройка рекламных 3D сцен для демонстрации товаров, включая...

"
0,"

SFB Tech — это группа IT-компаний, а основная наша специализация — диджитал-
реклама. Одно из направлений нашей деятельности — внутренняя разработка
мобильных приложений и их последующее продвижение.

Сейчас ищем креативного моушн-дизайнера **миддл-уровня** в команду собственной
разработки мобильных приложений **.** Основная задача – создание
анимированного рекламного контента для площадок Google Ads и Facebook Ads для
продвижения и развития своих продуктов. Например, одно из наших приложений -
""Just Yoga 4 You"" в аппсторе.

**Чем предстоит заниматься:**

  * Создание роликов с ""нуля"" по заданному концепту, сценарию и техническому заданию под рекламные сети Facebook Ads и Google Ads;
  * Редактирование существующих роликов по требованиям рекламных партнеров и социальных сетей.

**Что мы ожидаем:**

  * Отличное знание пакетов Adobe After Effects и Adobe Premiere Pro;
  * Креативность, художественный вкус, авторское мышление;
  * Умение работать с большими объемами задач в условиях четких дэдлайнов;
  * Преимуществом будет опыт работы и отрисовки рекламных материалов для Facebook Ads и Google Ads;
  * Предпочтителен опыт удаленной работы на фулл-тайм для коммерческих компаний, в команде;
  * _**Наличие портфолио обязательно. Резюме без портфолио не рассматриваются.**_

**Что мы предлагаем:**

  * Полная занятость;
  * Стабильная оплата труда;
  * **Удаленная работа, график: пн-пт, девятичасовой рабочий день (час обеда), начинать рабочий день можно с 9, с 10 или с 11 по московскому времени и соответственно заканчивать в 18, 19 или 20 часов;**
  * Классная команда, интересные и полезные продукты;
  * Отсутствие бюрократии и приветствие самых смелых идей;
  * Возможность обучения английскому языку в группах онлайн за счет компании.

","Отличное знание пакетов Adobe After Effects и Adobe Premiere Pro.
Креативность, художественный вкус, авторское мышление. Умение работать с
большими объемами...

","Создание роликов с ""нуля"" по заданному концепту, сценарию и техническому
заданию под рекламные сети Facebook Ads и Google Ads.

"
0,"

**Mobio - агентство мобильного маркетинга.**

Мы работаем с 2013 года и лучше других понимаем mobile-first и social-first
мир. К нам обращаются за качественным трафиком любого типа, производством
креативов и выгодным размещением у блогеров.

Будучи лидерами на рынке мобильного маркетинга, сейчас мы трансформируемся в
brandformance-агентство и предлагаем полноценные digital-стратегии с
углубленным понимаем медиа и performance задач.

Сейчас ищем в команду **дизайнера** , который бы отвечал за производство
креативов для рекламных кампаний (те самые баннеры и видео, на которые
пользователь кликает и затем скачивает мобильное приложение).

Нам нужен дизайнер-универсал, но с уклоном в **motion** , нежели статику, то
есть больше будет задач на разработку видеороликов, и меньше - статичных
баннеров.

**Обязанности:**

  * Разработка и создание рекламных баннеров и видео в соответствии с ТЗ
  * Обработка видео- и фотоматериалов, монтаж. Векторная анимация
  * Участие в съемках, умение работать с камерой и выставлением света
  * Участие в брейнштормах и взаимодействие с командой

**Требования:**

  * Высокие требования к себе и желание добиваться результата
  * Понимание трендов в дизайне
  * Опыт работы в digital
  * Уверенный пользователь CC
  * Грамотная речь

**Будет плюсом:**

  * Владение C4D или любым другим 3D пакетом
  * Прототипирование сайтов, сбор на конструкторе Readymag, Tilda
  * Figma

**Почему стоит работать с нами:**

  * Интересные задачи, проекты

  * Присутствовать каждый день в офисе не обязательно. Вы выбираете комфортный формат работы. Миксуйте офис\дом

  * Демократичная, открытая атмосфера в коллективе, где принято высказывать свою точку зрения без стеснения

  * Достойный оклад и бонусы после испытательного срока (есть возможность досрочного завершения испытательного срока)

  * Оформление по ТК, оплата отпусков и больничных

  * Развитие и обучение (участие в конференциях и выступления на мероприятиях, библиотека компании и профильные материалы в онлайн-базе знаний)

  * Возможность вырасти как специалист, повысить свою экспертизу

**ВНИМАНИЕ!**  
Мы принимаем отклики только с выполненным тестовым заданием (приложено к
вакансии).

","Высокие требования к себе и желание добиваться результата. Понимание трендов в
дизайне. Опыт работы в digital. Уверенный пользователь CC.

","Разработка и создание рекламных баннеров и видео в соответствии с ТЗ.
Обработка видео- и фотоматериалов, монтаж. Векторная анимация.

"
0,"

Молодая студия моушн - дизайна и анимации ищет моушн-дизайнера, готового расти
и развиваться вместе с нами. Мы специализируемся на создании оригинального и
классного видео контента.

**В твои задачи будет входить:**

\- создание презентационных, обучающих, имиджевых видеороликов;

\- работа с промо-роликами, инфографикой, эксплейнерами, рекламой для смм.

**Мы ждем от тебя:**

\- владение инструментами After Effects, Premiere Pro, Adobe Illustrator;

\- понимание основ композиции, типографики, цвета;

\- опыт работы в сфере моушн дизайна, а при его отсутствии - желание расти в
этой сфере;

\- навыки работы с персонажной анимацией (будет плюсом);

\- умение рисовать от руки (будет плюсом);

\- ответственность и исполнительность.

**Ты нам подходишь, если:**

\- тебя не пугает многозадачность, быстрота, ответственность;

\- у тебя высокий уровень самомотивации и обучаемости;

\- ты хочешь развиваться и прогрессировать в сфере моушн-дизайна.

","понимание основ композиции, типографики, цвета. - опыт работы в сфере моушн
дизайна, а при его отсутствии - желание расти в этой сфере. -

","создание презентационных, обучающих, имиджевых видеороликов. - работа с промо-
роликами, инфографикой, эксплейнерами, рекламой для смм.

"
0,"

 **what we 're looking for**

We are a rapidly developing and growing company. We are currently looking for
very responsible person who is experienced in interfaces design with high
self-organization skills.

**what you 'll be working on**

  * interface design;
  * create full-scale interactive concepts;
  * create and test prototypes;
  * make researches and implement benchmarks;
  * participate in product development and improvement.

**what you need to succeed in this role**

  * relevant experience at least for 3 years;
  * design skills;
  * aesthetic sensitivity;
  * attentiveness to details;
  * high level of responsibility for the quality of your work;
  * experience with React JS and Framer Motion would be a plus;
  * fluent English would be a plus.

**what we offer**

  * an opportunity to fulfill your greatest ambitions to conquer the world market - you can stand at the origins of history;
  * career prospects - we are young, we have huge ambitions and it is important that our employees grow with us;
  * opportunity to move to the European head office;
  * work with coworkers who are passionate about their business;
  * absolute flexibility throughout all processes (lack of a strict hierarchy, the ability to influence the company's development);
  * flexible schedules;
  * compensation that will fully correspond to the competence and knowledge;
  * the opportunity to attend conferences, courses, and professional development at the company's expense - we favor the continuous development of our employees;
  * extended employee benefits.

**about us**

xpate is a fintech startup that enhances global payments using a design-
centric approach to serve growing business needs. We make the payment process
easier, faster and accessible to everyone by introducing the first true drag
and drop payment experience in the world uniting all payment methods in one
account.

xpate is an e-wallet system both for retail and business customers who aim to
make the financial sphere of their lives comfortable and hassle-free. More
than 300 companies processing over 50000 transactions daily utilise xpate to
expand their business across frontiers.

Our rapidly growing team is based across three offices in London, Riga and
Singapore

","Relevant experience at least for 3 years. Design skills. Aesthetic
sensitivity. Attentiveness to details. High level of responsibility for the...

","Interface design. Create full-scale interactive concepts. Create and test
prototypes. Make researches and implement benchmarks. Participate in product
development...

"
0,"

В Дирекцию мультимедийных центров Sputnik в странах Ближнего зарубежья и
странах Балтии ищем талантливого Дизайнера:

**Обязанности:**

  * Разработка и создание мультимедийных продуктов: видеодизайн, веб-дизайн, моушн-дизайн, анимация;
  * Дизайн лендингов и спецпроектов;
  * Создание презентаций, инфографики, лонгридов, иллюстраций.

**Требования:**

  * Профильное образование!
  * Опыт аналогичной работы от 3-х лет;
  * Опыт работы в медиа и разработки видеодизайна будет являться большим плюсом;
  * Системное мышление, умение работать с разными медийными форматами, коммуникабельность.

**Условия:**

  * м. Парк культуры (в шаговой доступности);
  * Заработная плата обсуждается на собеседовании;
  * График работы пятидневная рабочая неделя с 10.00 до 19.00;
  * Социальный пакет (ДМС, корпоративный фитнес-клуб, врач-терапевт в офисе);
  * Бесплатное посещение показов фильмов, лекций и других мероприятий на площадках МИА «Россия сегодня».

","Профильное образование! Опыт аналогичной работы от 3-х лет. Опыт работы в
медиа и разработки видеодизайна будет являться большим плюсом.

","Разработка и создание мультимедийных продуктов: видеодизайн, веб-дизайн,
моушн-дизайн, анимация. Дизайн лендингов и спецпроектов. Создание презентаций,
инфографики, лонгридов, иллюстраций.

"
0,"

 **Job Overview**

An organized performer and leader of the Motion design team. Together with the
team sets goals and owns their execution, improves collaboration with cross-
functional leads and takes an active part in recruiting and hiring. Delivered
successful work at the different levels of scale, professional and having
launched large products or services, from concept through development.

**What you will do**

  * Work as a part of our in-house creative team to design and animate assets that promote our company and product.

  * Manage an international team of 4-5 motion designers.

  * Partner with Marketing and Product teams to develop better product representation on the market.

  * Work on product promos, explainers, tutorials, shooting videos, and communications assets.

  * Focus on strategy: requirements, briefs, quality assessment, team planning, campaign concepts, processes & team success assessment.

  * Manage your own time efficiently and help other designers plan their projects and tasks.

  * Coordinate and establish a design review process, regularly provide feedback on best practices as well as the personal mentorship.

  * Help guide and improve the design process and set a high bar for quality.

  * Maintain an understanding of digital trends and practices with the goal of establishing a strong design culture.

**What are we looking for**

  * 3-6 years of experience as a motion designer or similar.

  * 2+ years as manager of design teams.

  * Strong portfolio demonstrating past work experience.

  * Fluency in best practices for information architecture and design, as well as strong knowledge of usability principles and techniques.

  * Knowledge and use time management best practices.

  * Ability to work with marketing teams and handle multiple projects in a fast-paced environment.

  * Ability to create flexible, multi-step plans that lead to operational excellence.

  * Strategical thinking about your team and your own time and effort.

  * Advanced oral and written English.

**If you want to apply for this position, add a portfolio link to your CV or
cover letter.**

","3-6 years of experience as a motion designer or similar. 2+ years as manager
of design teams.

","...to design and animate assets that promote our company and product. Manage
an international team of 4-5 motion designers.

"
0,"

**Обязанности:**

  * Создание промо-роликов для суббрендов Агентства;

  * Выполнение в правильном пайплайне в команде с арт-директором, сценаристом и супервайзером;

  * Создание и разработка анимационных роликов для нужд Центра дизайна коммуникаций и рекламы;

  * Осуществление стилитической поддержки уже существующих проектов Агентства;

  * Участие во внедрении новых технологий.

  * **Обязательно наличие портфолио.**

**Требования:**

  * Опыт работы в сфере дизайна от 3 лет;

  * Профильное образование будет плюсом

  * Уверенный пользователь пакета Adobe;

  * Знание основ типографики;

  * Приветствуется навык работы в Cinema4d;

  * Умение показывать промежуточные варианты;

  * Навык визуализации идей;

  * Умение работать в команде;

  * Навык рисования от руки (будет плюсом).

**Условия:**

  * м. Парк культуры (в шаговой доступности);
  * Заработная плата обсуждается на собеседовании;
  * График работы: 5/2;
  * Оформление по ТК РФ;
  * Социальный пакет (ДМС, корпоративный фитнес-клуб, врач-терапевт в офисе);
  * Бесплатное посещение показов фильмов, лекций и других мероприятий на площадках МИА «Россия сегодня».

","Опыт работы в сфере дизайна от 3 лет. Профильное образование будет плюсом.
Уверенный пользователь пакета Adobe. Знание основ типографики.

","Создание и разработка анимационных роликов для нужд Центра дизайна
коммуникаций и рекламы. Осуществление стилитической поддержки уже существующих
проектов Агентства.

"
0,"

**Job Overview**

Wrike Creative Team is a multi-disciplinary department comprised of brand
design, motion design, video production, design operations, and website
design. We work cross-functionally with just about every team from marketing
to product to deliver a unified customer experience and make it great. The
Creative Team makes a meaningful impact on the Wrike brand and shapes the
perception of our products.

We're looking for a **Senior Designer** in our Digital Design Team to join our
internal creative group. In this role, you will collaborate with our internal
digital marketing team, creative team, content writers, to help execute
exciting, public-facing projects that support the company’s goals. An ideal
candidate is a good communicator and collaborator who’s looking for a place to
grow and contribute. We value creative, self-driven individuals who care about
the users, work they produce and the people they work with.

**What will you do**

  * Collaborate with designers, writers, marketers to deliver an efficient and problem-solving design.
  * Creating marketing campaigns via landing pages, emails, and digital ads.
  * Implementing marketing initiatives to drive conversions throughout the entire customer journey.
  * Taking part in the design of the website and web campaigns, from defining complex user-stories, wire-frames, and prototyping to a visual design with accountability to results.

**What are we looking for**

  * The data-driven designer who always seeks for an opportunity to deliver a highly efficient design.
  * An established performer with strong communication skills who proactively builds relationships.
  * Passionate about design and digital.
  * Experience with UI/UX design.
  * Strong typography and layout skills.
  * Online portfolio demonstrating visual skills.
  * Expertise in Figma and Adobe Creative Suite.
  * Expertise in Landing page builder platforms (Unbounce, Readymag, Webflow, Instapage, Hubspot)
  * **Confident English speaking and writing skills**.

**If you want to apply for this position, add a portfolio link to your CV or
cover letter.**

","The data-driven designer who always seeks for an opportunity to deliver a
highly efficient design. An established performer with...

","Collaborate with designers, writers, marketers to deliver an efficient and
problem-solving design. Creating marketing campaigns via landing pages,
emails...

"
0,"

 **PSA Development Center,** is looking for **Media Designer** with 2+ years
experience to join our creative designers team. You will be responsible for
maximizing PSA presence on the web, in print, and other media, support the
creative design of the PSA brand, but also support a variety of channels in
maintaining brand consistency.

_**Please provide your CV in English only - we have colleagues who don 't
speak Russian!**_

**Be ready to provide your portfolio.**

**_Responsibilities:_**

  * Development of graphics for social/professional networks (preparation of unique illustrations, photo editing, creation of infographics);
  * Design development for tabs and applications in social networks;
  * Creation of unique GIFs with elements of motion design, creation of digital internet ad banners;
  * Creation of static promotional materials for advertising professional services in social and advertising networks;
  * Participation in coming up with ideas for posts, promotions, contests, applications and their visual design;
  * Rendering presentations, creation of templates for commercial proposals;
  * Creation of promotional materials (leaflets, brochures, certificates, etc.);
  * Collaborate with product/project managers and engineering teams to design new features;

  * Synthesize feedback gathered from support and sales into new and existing features;

  * Act as the user-advocate during the development process, subjecting early-stage designs to usability testing or expert review, and offering implementation suggestions from a user-centered design perspective;

  * Establish and improve design patterns to create a friendly and approachable user experience;

  * Work with our sales team to create effective visual communication sources.

_**Requirements:**_

  * 2+ years of experience designing consumer, commercial, and enterprise web applications;
  * Excellent communication skills with the ability to articulate ideas and concepts to internal stakeholders as well as receive feedback on designs;
  * Visual, interaction, production design skills to create wireframes that effectively communicate user workflows;
  * Deep understanding of various content creation workflows;
  * Strong prototyping skills and using a variety of prototype tools;
  * Time management skills and the ability to cope with several projects at a time;
  * Expert knowledge of Adobe Creative Suite, Figma or Adobe XD, Adobe Photoshop, Illustrator, Sketch, Adobe After Effects;
  * Online portfolio demonstrating your experience (Behance, Dribble, online pdf etc.);
  * Experience of shipping and releasing products is a plus;
  * _English level – Intermediate+._

_**We offer:**_

  * Competitive salary based on a hiring interview;
  * Benefits working in a company-resident of Hi-Tech Park;
  * Medical insurance;
  * Opportunity to develop your professional skills greatly;
  * Flexible work schedule;
  * Free English classes on site, language assistance in communication with customers;
  * Official employment from the first working day;
  * Approachable managers and well-adjusted team of professionals;
  * Open-door policy pursued by the management;
  * Ample work space, traditional office organization (not an open space);
  * Spacious kitchen; lemons, milk, cookies, a rich selection of hot beverages;
  * Comfortable office in a prestigious location near Minsk-Arena;
  * Adequate parking spaces near office building;
  * Family-like atmosphere.

","...internal stakeholders as well as receive feedback on designs. Visual,
interaction, production design skills to create wireframes that effectively
communicate...

","Design development for tabs and applications in social networks. Creation of
unique GIFs with elements of motion design, creation of...

"
0,"

В нашу молодую и очень амбициозную команду GRATT (www.grattdigital.ru)
требуется графический дизайнер, готовый вместе с нами покорять рынок и менять
мир к лучшему. Да-да, так говорят все, но мы действительно это делаем.

Сразу предупредим, что проектов много, они все разные и по большей части
клиенты - крупные бренды.

**Обязанности:**

  * Разработка айдентики
  * Дизайн рекламных материалов
  * Вёрстка журналов и презентаций

**Требования:**

  * Высшее профильное образование
  * Опыт работы дизайнером от 1 года
  * Успешный опыт работы в коммерческих проектах
  * Знание пакета Adobe (Id, Ai, Ps)
  * Знание допечатной подготовки
  * Понимание принципов типографики
  * Умение работать по брендбуку
  * Готовность работать в сжатые сроки

Преимуществом будет знание и готовность развивать такие дополнительные навыки
как: 3D-дизайн, motion design.

**Условия:**

  * Фултайм с 11 до 19
  * Штаб квартира на Васильевском острове
  * Честная и доверительная атмосфера без лишнего формализма

Принимаются резюме только с портфолио. Кандидатам, успешно прошедшим интервью,
будет предложено выполнить тестовое задание. По результатам тестового задания
будет принято решение о трудоустройстве.

","Высшее профильное образование. Опыт работы дизайнером от 1 года. Успешный опыт
работы в коммерческих проектах. Знание пакета Adobe (Id, Ai...

","Разработка айдентики. Дизайн рекламных материалов. Вёрстка журналов и
презентаций.

"
